num,type,d_le,a_le,gender,a1_r1,a2_r1,a3_r1,rt_a1_r1,rt_a2_r1,rt_a3_r1,a1_r2,a2_r2,a3_r2,rt_a1_r2,rt_a2_r2,rt_a3_r2,a1_r3,a2_r3,a3_r3,rt_a1_r3,rt_a2_r3,rt_a3_r3,a1_r4,a2_r4,a3_r4,rt_a1_r4,rt_a2_r4,rt_a3_r4,a1_r5,a2_r5,a3_r5,rt_a1_r5,rt_a2_r5,rt_a3_r5,a1_r6,a2_r6,a3_r6,rt_a1_r6,rt_a2_r6,rt_a3_r6,a1_r7,a2_r7,a3_r7,rt_a1_r7,rt_a2_r7,rt_a3_r7,a1_r8,a2_r8,a3_r8,rt_a1_r8,rt_a2_r8,rt_a3_r8,a1_r9,a2_r9,a3_r9,rt_a1_r9,rt_a2_r9,rt_a3_r9,a1_r10,a2_r10,a3_r10,rt_a1_r10,rt_a2_r10,rt_a3_r10,a1_r11,a2_r11,a3_r11,rt_a1_r11,rt_a2_r11,rt_a3_r11,a1_r12,a2_r12,a3_r12,rt_a1_r12,rt_a2_r12,rt_a3_r12,a1_r13,a2_r13,a3_r13,rt_a1_r13,rt_a2_r13,rt_a3_r13,a1_r14,a2_r14,a3_r14,rt_a1_r14,rt_a2_r14,rt_a3_r14,a1_r15,a2_r15,a3_r15,rt_a1_r15,rt_a2_r15,rt_a3_r15,a1_r16,a2_r16,a3_r16,rt_a1_r16,rt_a2_r16,rt_a3_r16,a1_r17,a2_r17,a3_r17,rt_a1_r17,rt_a2_r17,rt_a3_r17,a1_r18,a2_r18,a3_r18,rt_a1_r18,rt_a2_r18,rt_a3_r18,a1_r19,a2_r19,a3_r19,rt_a1_r19,rt_a2_r19,rt_a3_r19,a1_r20,a2_r20,a3_r20,rt_a1_r20,rt_a2_r20,rt_a3_r20,a1_r21,a2_r21,a3_r21,rt_a1_r21,rt_a2_r21,rt_a3_r21,a1_r22,a2_r22,a3_r22,rt_a1_r22,rt_a2_r22,rt_a3_r22,a1_r23,a2_r23,a3_r23,rt_a1_r23,rt_a2_r23,rt_a3_r23,a1_r24,a2_r24,a3_r24,rt_a1_r24,rt_a2_r24,rt_a3_r24
1,1,1,1,1,0,0,0,3202,4941,3295,0,0,0,1908,4620,2512,0,0,0,2098,1808,2254,0,0,0,4300,1945,2035,0,0,0,1842,1474,2773,0,0,0,2964,1906,2481,0,0,0,2268,2491,3818,0,0,0,2466,2033,3137,0,0,0,1781,2054,2235,0,0,0,2045,2673,1988,0,0,0,2156,1646,1858,0,0,0,1727,1566,2328,0,0,0,1476,1546,2195,0,0,0,2698,1478,2231,0,0,0,4827,1564,2226,0,0,0,2617,1807,1834,0,0,0,2630,1992,2299,0,0,0,1768,2444,1746,0,0,0,1464,1061,1941,0,0,0,2730,6521,3044,0,0,0,1952,2630,2189,0,0,0,2499,1529,2234,0,0,0,2980,1607,1908,0,0,0,2058,3199,2753
2,0,1,3,2,13,15,13,5581,10161,4220,0,0,0,2106,918,1994,0,11,14,2892,5191,2463,11,11,11,2615,6055,3528,15,0,0,3307,3007,2146,0,11,18,3359,5209,2350,10,15,17,3240,10138,5484,13,11,0,2862,5600,4609,13,11,20,3312,7752,3126,16,16,18,4574,10963,3879,17,0,0,2865,11111,10311,0,13,13,2472,2754,5383,10,20,14,3245,7208,6298,11,0,0,2485,1768,1673,0,0,0,1924,2799,4559,13,13,16,3092,3091,1387,0,13,13,5717,2912,1619,11,13,12,2819,8639,5555,11,13,20,2369,6575,5188,13,0,0,2895,2841,2085,0,0,0,2372,5736,2899,11,13,0,5947,6541,2326,0,13,16,1945,3865,2703,11,13,18,3367,2473,2220
3,0,2,1,2,0,12,5,2442,8939,1705,14,0,15,1597,1710,2791,0,12,16,1780,3286,1671,14,12,3,1486,4989,723,13,10,16,1412,4918,1793,14,10,15,1267,2201,2336,0,3,5,1754,6929,2420,0,0,16,1637,1207,1643,13,13,5,1658,2431,2244,13,13,15,1334,2097,1694,14,10,3,1252,2128,1608,0,0,5,1915,1211,3233,0,13,8,4732,2398,2484,13,10,15,2075,2654,2072,13,13,5,1408,1972,1742,13,13,15,1371,1702,2113,0,0,5,1446,1032,795,0,10,5,1329,2343,1727,13,13,15,1578,1906,2045,14,0,5,1492,1479,2406,12,10,15,3525,4155,1483,0,13,5,1125,3558,1061,13,0,15,3431,5356,1682,0,0,15,1578,1066,2276
4,0,3,2,2,0,0,0,1517,2374,1302,0,0,0,1654,886,1430,5,5,6,1317,3396,812,5,0,0,2578,677,1174,6,8,5,2470,1494,1853,0,0,0,1001,848,801,5,6,5,1178,8330,1739,0,0,0,1004,1206,954,6,8,8,1035,5170,5123,0,0,0,2018,1138,755,5,6,5,838,3776,1973,0,0,0,1595,941,922,6,0,0,2233,1710,1840,0,0,0,989,1143,1043,5,6,6,1766,4131,1628,0,0,0,3709,841,1436,5,0,7,2710,9188,1595,5,0,7,1843,935,1724,0,0,0,897,921,1230,6,0,0,1544,1012,2615,0,0,0,1685,3007,1454,0,0,0,925,822,1408,5,10,8,2654,11288,2274,0,0,0,1507,931,1263
5,1,1,3,2,15,18,11,5284,7239,7371,12,14,5,8284,11300,5037,10,17,12,4311,5455,9653,15,8,7,2343,2962,3666,15,6,0,2044,6232,3531,13,0,0,4362,6700,3722,5,7,0,6253,4129,4153,5,0,0,3935,2137,5946,0,0,0,2361,4901,3220,1,13,5,3844,6579,7301,1,4,0,5530,5535,2047,0,0,0,3090,1750,2160,7,0,5,3746,2307,1765,0,3,0,3943,8265,2037,1,0,0,3387,2856,1610,7,3,3,1035,1930,1198,0,6,0,1761,6928,1841,1,1,0,2916,5140,2009,6,6,5,6923,5779,5894,0,0,0,4460,7128,1767,0,0,0,2957,2548,1962,4,5,5,3640,2490,1960,0,0,0,3651,4333,2078,0,3,0,2605,7354,1634
6,1,2,3,2,0,0,0,4868,3883,3815,0,0,0,2589,1965,1219,0,0,0,1501,1579,1536,8,0,0,4092,10109,7673,8,9,10,4108,2104,8895,0,0,0,1975,2118,1519,0,0,0,1273,2061,1651,0,9,9,8490,2097,2086,0,0,8,5124,1665,11721,0,0,0,2591,3077,1827,0,0,0,1233,1322,1277,8,9,9,2439,1662,6646,0,0,0,2175,1175,1184,0,8,10,9681,5275,2745,0,0,0,2913,4725,1216,0,0,0,2017,1492,2413,0,0,0,6848,2192,2280,0,0,0,1380,2460,2436,0,0,0,1864,1710,1787,10,9,6,6708,1582,12481,0,0,0,1819,1353,1202,0,0,0,1658,2071,1209,8,0,0,4703,1109,3051,0,0,0,3659,2181,3852
8,1,1,3,1,0,6,0,2873,4483,657,10,0,0,2480,1479,3428,10,6,7,1912,1778,2169,18,9,10,6679,1579,1035,20,0,12,2317,1762,934,20,10,12,1633,2180,1007,20,6,14,1902,1099,1050,0,16,0,1573,4832,880,0,0,0,1340,1557,1025,15,0,10,2533,2101,2843,0,8,0,1556,1866,695,13,0,0,2233,1538,845,14,0,0,4458,1135,2666,0,7,10,751,5636,973,0,0,0,773,3008,1804,0,0,0,889,2221,801,13,6,0,8054,2860,7178,0,0,0,6548,1995,1657,0,0,0,714,1833,1804,12,6,10,2238,1481,1485,18,0,0,4737,1846,734,0,0,10,3964,2112,951,13,9,0,2492,1401,730,0,0,9,1679,2562,2332
9,1,3,2,2,0,0,0,3338,1889,3198,0,0,0,1982,588,1904,0,0,0,1769,1148,1917,0,0,0,986,534,1823,0,0,0,1854,633,1754,0,0,0,1234,577,1865,8,7,0,2542,1760,1878,0,0,0,10244,608,3451,0,0,0,2598,607,1759,0,0,0,1566,4130,1929,8,7,0,1468,805,1751,0,0,0,2199,516,2003,0,0,0,1053,644,2135,0,0,7,1503,546,1563,0,0,7,1629,964,1761,0,7,7,1002,1223,1946,7,7,7,3199,2334,2650,0,0,0,1006,1564,1689,0,0,0,1104,548,1818,0,0,0,1158,730,1969,0,0,0,1984,570,1853,8,8,0,975,601,1823,0,0,0,828,537,2049,0,0,0,1136,607,1826
10,1,1,2,2,0,0,0,1179,1725,2169,0,0,0,1114,2037,2004,0,0,0,948,1764,3437,0,11,0,846,2938,1805,0,0,0,1012,1790,1439,0,0,0,1136,1444,1330,0,0,0,941,2898,1672,0,0,0,1004,6592,2568,0,11,0,896,6009,2268,0,0,0,875,2362,1970,0,0,0,1650,1969,2128,0,0,0,2078,3322,2704,0,10,0,1442,3785,2066,0,0,0,1229,2599,1509,0,0,0,1224,1771,1429,0,0,0,1488,6035,1329,0,0,0,1953,5377,1948,0,10,0,900,4213,2213,0,10,0,1038,4294,1415,0,0,0,894,1902,1728,0,10,0,945,2604,2501,0,0,0,908,2355,1851,0,0,0,1870,2538,1570,0,0,0,1252,1909,2511
11,0,3,2,2,15,15,15,1703,1491,4741,6,1,0,10624,959,1920,16,16,16,2948,994,1290,5,3,0,4942,958,1580,18,3,16,8219,12,1847,3,0,0,1203,1056,1528,14,17,16,1334,1183,2345,10,1,0,1563,697,1005,15,16,15,1861,2356,1535,9,11,0,1284,957,1177,15,17,16,2042,903,1267,5,11,5,3463,1055,2448,11,16,17,5641,843,1235,5,12,9,1842,941,4854,16,15,14,3425,1083,1210,6,11,5,4412,862,1099,17,16,15,1987,8727,1289,5,14,5,2567,1354,1409,20,16,16,1634,1416,1164,6,16,8,1795,3898,858,14,1,17,1786,2867,1185,18,17,0,2674,2145,906,10,1,9,4457,845,1795,12,17,15,1947,860,2747
13,1,2,1,2,0,5,0,3403,7664,2467,0,0,0,3063,1212,2135,0,0,0,2648,1918,2629,12,6,0,6926,790,2850,0,5,0,1536,3456,3355,0,0,0,8263,1485,2684,12,5,0,2685,889,7594,0,0,0,2412,3842,6052,0,5,0,3703,1118,6511,0,0,0,2473,1214,1852,10,10,5,6430,5016,3657,0,0,0,2116,4866,2261,0,0,0,3062,1895,2277,10,5,0,2610,996,1880,0,0,0,1127,2493,2003,0,8,5,2819,1368,1898,0,0,0,1568,1561,3217,8,0,0,2167,1483,2566,8,5,0,2528,4304,2997,8,0,0,1935,1185,6952,0,0,0,1067,2678,5065,8,0,10,2503,3496,8143,0,0,0,1998,5242,2962,8,0,0,1505,2411,2306
14,1,3,1,1,1,10,5,3478,4009,2318,1,0,1,2784,3220,1208,1,0,0,2478,1171,1835,1,0,0,1918,1021,918,0,0,8,1724,5346,1851,13,0,5,2917,3031,5520,0,5,3,1590,3992,7803,0,0,0,3210,2875,4359,1,0,0,3865,3591,1412,11,0,9,2528,2580,4645,9,0,0,4063,2293,2357,0,0,0,1815,2397,1657,0,8,0,3637,3175,3472,10,0,10,4600,2600,6042,0,0,10,1752,2495,4770,0,0,0,4122,2118,5662,9,0,8,3418,3058,3499,0,0,8,6529,2864,5929,0,0,0,3778,8804,1131,10,0,5,3108,3096,5637,0,0,0,4242,2481,997,10,0,0,1967,2127,6480,0,0,0,3019,2605,2070,9,0,9,1644,3090,2738
15,1,2,1,1,0,15,0,4169,2432,1998,0,0,0,2088,970,1591,1,0,0,1051,1331,974,10,8,12,1817,1319,1327,0,10,0,1434,1322,722,1,8,0,4558,5311,802,10,8,12,3035,1387,2127,1,0,0,7664,1309,714,10,8,12,2289,2511,2265,1,0,0,1179,1339,1898,10,10,11,2364,1317,1189,0,0,0,2387,3478,1916,1,0,0,3737,3100,849,12,12,12,2208,3741,2667,1,0,0,1600,4059,2628,10,10,10,2782,3556,744,1,1,0,922,6573,1947,10,10,10,1977,4026,869,15,11,0,5465,4051,2071,1,0,0,6198,6631,6144,15,15,15,2766,1200,1664,1,0,0,8254,3936,1551,12,11,12,6239,3597,1567,12,12,0,4257,5956,3340
17,1,3,1,2,19,13,10,2907,1752,3521,0,0,0,1456,1164,1539,5,3,0,3574,3078,1516,4,0,0,1964,2308,2087,19,11,5,2112,1235,1761,18,14,10,3002,1133,3362,19,15,10,4523,1233,1848,18,14,10,2700,1328,1634,18,15,15,3205,1104,3984,0,0,0,1306,1188,1496,2,0,0,2327,1513,2595,17,14,10,4678,973,1655,15,13,15,3589,1163,1982,10,0,0,2507,1331,1540,6,0,0,2639,944,1675,15,13,10,3171,1051,3065,18,16,16,2012,1408,4783,6,0,0,1388,1179,1451,1,1,0,4640,1402,1653,18,14,10,2111,984,3549,19,16,15,2083,4791,1587,0,0,0,1524,1148,1535,1,0,0,2569,2185,1622,20,14,15,1511,1359,1906
18,1,1,1,2,0,0,0,2625,1445,4265,0,0,1,3235,1129,3853,0,0,0,4455,999,2164,0,0,0,3405,884,2867,0,8,0,2983,1400,3295,0,0,0,3765,1379,2293,0,0,1,4292,4181,2394,0,0,1,3394,1687,3177,15,8,0,7194,1290,7682,0,0,0,3295,2546,4918,0,0,1,5975,4924,2406,0,0,1,4687,1688,3677,0,0,0,2822,2069,2136,1,0,1,10791,1376,1757,2,0,0,6111,2278,3721,1,0,0,5676,2519,2213,1,0,10,8311,2741,4371,1,0,0,8437,2725,2636,1,10,0,5999,1396,2692,1,0,0,5705,1317,3577,0,0,0,6283,2036,3006,0,0,0,7762,1279,2396,10,0,0,5314,1458,2623,0,0,0,4231,1473,2205
19,1,3,2,2,1,0,0,2280,1185,1264,2,0,1,684,765,1635,1,0,6,734,863,2030,5,12,6,861,807,3356,0,0,1,1485,849,2986,1,0,1,1011,1103,2832,0,0,5,1248,636,3689,8,12,7,1351,945,8399,0,0,0,2241,815,1303,1,0,0,3766,1082,1669,1,0,1,927,969,1740,8,12,8,1965,982,1664,0,0,0,1279,705,1175,1,0,0,3185,918,1325,1,0,1,1075,756,1395,7,12,8,1056,1448,1249,1,0,0,1357,898,1825,3,0,1,1259,831,1925,1,0,1,1196,776,1998,8,15,9,1529,1145,2165,0,0,0,1508,679,1418,0,0,0,1724,658,1350,0,0,1,2193,873,1366,5,10,9,1084,1038,1417
21,0,3,3,2,10,5,2,4450,2292,6020,1,2,7,1283,1552,1825,1,5,7,1206,4085,1696,11,5,7,1820,2271,1604,0,5,8,2442,2485,4246,1,2,7,4377,2143,2628,11,5,7,1344,4237,7685,0,0,2,2171,3799,4003,0,1,7,3498,7092,4433,11,0,7,2866,2239,1547,0,0,8,4200,2847,2418,11,0,7,10338,3389,2955,0,1,7,2235,1817,3966,18,5,7,7207,1959,2941,0,0,7,2591,3763,4286,11,5,7,3437,2003,1100,0,0,7,3498,2426,3369,11,5,7,2475,2878,5031,0,0,0,1272,1814,4757,11,5,0,2713,3058,4121,0,5,7,3928,5246,3406,11,5,7,2390,4819,4341,0,0,6,1366,2294,2253,11,5,6,2069,2055,1973
22,0,1,3,2,8,13,15,4956,3874,7067,13,14,1,5659,2451,1298,12,10,1,5757,3050,3005,12,2,1,5416,2215,2226,1,2,1,2719,1152,1703,1,1,1,2991,939,1489,1,1,12,2987,3614,3503,1,13,10,3641,1349,1646,12,13,12,6250,1914,1945,15,1,1,6296,1287,998,1,1,1,3518,1718,1685,1,1,1,3329,798,2033,1,13,12,3315,1185,4196,16,15,1,4884,1613,1753,1,1,1,3527,757,1951,4,1,1,6458,1424,1566,1,14,12,7118,1621,1120,12,14,1,2946,1536,1484,1,1,1,3018,1523,1710,1,1,12,3138,1627,6569,1,14,12,3253,1308,1445,1,1,1,4158,1420,1425,1,1,1,2837,1331,3024,1,13,9,3376,1976,1427
34,1,3,3,2,5,0,0,4344,2214,2187,0,0,0,3921,2729,2257,3,0,0,11420,2731,3101,0,0,0,2113,5577,2684,0,12,1,3308,3045,2134,10,10,10,2331,3893,2715,0,0,0,3556,2583,2836,0,0,0,3328,2084,2175,0,0,0,2487,1939,2720,5,0,0,2395,3530,3327,0,12,1,1831,3028,2091,0,14,20,2185,3065,3318,0,0,0,4733,2239,3808,0,0,0,2811,3002,3283,0,1,0,6505,5019,3162,0,12,1,3870,6020,5627,10,10,20,2506,9218,3750,0,0,0,1885,1734,3399,0,0,0,2119,6637,2616,10,15,0,6365,5042,5368,0,0,0,1946,2157,3279,0,0,0,1437,2802,2682,0,11,10,2963,2980,3159,0,13,15,2703,5319,2596
35,1,2,3,1,12,13,15,2269,3138,4961,1,2,1,984,5483,4543,12,13,15,1963,7555,6787,1,1,1,681,6203,5684,12,12,13,1398,5015,4474,1,2,14,962,6493,9435,14,13,14,1848,3388,10368,1,1,1,843,3217,1328,14,13,15,2386,4827,2206,1,1,13,1433,3931,6859,14,1,1,1906,8256,2506,1,14,1,1227,4029,1711,12,13,14,1855,2752,3046,1,5,13,1784,4969,7286,13,13,6,2452,4589,6229,1,2,10,1647,5786,7363,12,13,14,2290,3068,2996,1,1,1,845,2905,1245,12,13,13,3040,4301,6200,1,1,1,2919,3759,1823,12,13,1,2588,4252,1235,1,1,1,1781,4257,6651,12,13,15,2894,3388,3312,1,1,1,1712,4148,1536
36,1,3,1,2,0,0,0,3335,686,1058,0,0,0,2142,896,1039,0,0,0,2460,731,1075,0,0,0,2690,754,1514,0,0,0,1912,1627,1338,0,0,0,2059,714,1292,0,0,0,1933,810,727,0,0,0,1672,784,1350,0,0,0,2134,2718,1392,0,0,0,2112,696,2598,0,0,0,2180,954,2479,0,0,0,2358,1294,1417,0,0,0,1935,881,1283,0,0,0,2064,752,1853,0,0,0,2922,5795,1908,0,0,0,2605,3396,2048,0,0,0,2742,741,1637,0,0,0,1963,999,1268,0,0,0,2757,807,2937,0,0,0,3158,1008,1966,0,0,0,1968,686,973,0,0,0,2266,1142,1018,0,0,0,2256,741,1580,0,0,0,1960,1283,1856
37,0,1,2,1,0,0,0,7238,2761,5526,0,0,0,2626,1262,2059,0,0,0,1390,3863,1265,10,10,10,1993,2131,1406,0,0,0,1596,1352,1277,0,0,0,2564,1984,1079,0,0,0,1914,1556,3023,0,0,0,1416,1198,8873,10,10,10,2367,1637,1107,0,0,0,2137,869,2826,0,0,0,2359,1418,2626,1,1,0,4963,1714,2877,0,0,0,2562,1002,1213,0,0,1,2679,1117,1578,10,10,10,2648,1293,1559,0,1,0,2727,3921,1204,0,0,0,1583,913,1165,0,0,7,1809,1163,1661,0,0,0,2466,1070,2399,10,0,10,3498,5082,1280,0,0,0,1912,5618,5772,0,0,15,1480,1113,8530,0,0,0,1531,2245,3746,10,0,10,2620,906,3004
38,1,3,1,2,0,0,0,1388,2329,1801,0,0,0,1521,2149,1208,0,8,0,1060,2239,1109,9,8,8,1013,1743,2249,0,0,0,1857,2338,2338,0,0,0,962,1914,1281,0,0,0,848,1587,871,10,8,0,2659,1916,1067,10,0,0,1085,2021,1325,10,8,10,901,2587,3422,0,0,0,894,2219,1128,0,0,8,863,2498,843,10,8,7,976,2717,2434,12,0,0,1649,2529,951,10,9,8,2382,1492,1028,0,0,0,998,4168,1378,10,9,8,1378,1377,893,0,0,0,779,2559,1102,10,0,0,2745,2151,1197,0,8,0,875,2037,1099,9,8,9,780,2843,1259,13,0,0,2549,2150,2796,0,9,9,842,2216,1087,10,0,9,2287,1595,978
39,0,3,3,2,9,10,14,3487,2358,3650,10,10,14,2287,5495,2761,13,4,14,2372,4247,2623,7,10,5,5414,5228,1987,1,5,6,2515,1995,1366,3,2,12,2479,3408,1957,2,5,12,3630,2726,1618,7,5,12,2275,3103,1734,8,10,13,9011,2379,2590,11,11,12,7320,3637,4633,3,2,14,4950,3321,2262,13,3,1,4146,3493,2678,1,2,11,1898,4199,1360,1,8,11,3115,1968,2854,12,7,11,2343,2219,2380,13,10,12,7518,3883,5522,8,1,2,3681,2469,1521,3,3,2,7164,4489,3100,2,2,12,2781,2642,1503,13,10,12,3249,3091,1481,12,11,13,5365,4355,1629,11,1,1,10146,4112,2221,1,2,1,1515,5864,3282,1,8,12,1920,4493,2507
40,0,2,2,1,0,0,10,3146,2785,6378,0,14,8,801,1975,3599,13,10,6,6305,3572,9333,0,0,14,1708,1769,5121,0,0,0,6879,1678,1854,14,13,8,1675,1851,4119,0,0,8,2120,2423,7060,14,10,10,1391,989,9266,14,12,1,8329,1681,2870,0,0,12,1182,767,9008,14,10,8,1747,1466,3126,0,5,12,2956,1541,3881,17,10,0,3093,1818,3882,0,0,3,6204,2685,12,13,10,10,3332,4337,2514,0,0,0,2186,2413,5370,14,10,10,3845,4680,5648,16,0,0,3284,1310,5309,16,0,16,3906,6684,6398,0,10,0,2287,1692,4951,0,10,10,2425,2734,12027,5,11,12,5550,6343,3517,3,0,13,6268,1587,2865,0,0,8,3167,5744,5897
46,0,3,2,2,0,0,0,4199,3188,2217,0,0,1,2466,1591,1288,7,6,0,2334,7056,1945,0,0,5,2638,1872,1280,0,0,5,3452,1788,2867,8,9,0,2034,4447,1548,0,0,0,2029,1906,1750,0,0,0,1926,1749,1840,7,9,5,4135,2017,1356,0,0,0,3385,1834,1374,0,0,0,2817,2696,1702,6,5,7,3311,5429,2811,0,0,0,3575,1716,2197,0,0,0,2045,1986,1946,8,8,6,2670,2658,1906,0,0,0,1588,1790,1866,0,0,0,1539,2780,2258,6,6,5,2410,3776,2289,0,0,0,1902,3070,2487,0,0,0,2248,2596,4771,9,11,7,1899,2304,2016,0,9,0,2759,3328,2950,0,0,0,6487,1356,3450,7,6,10,2323,8756,2266
