num,type,d_le,a_le,gender,a1_r1,a2_r1,a3_r1,rt_a1_r1,rt_a2_r1,rt_a3_r1,a1_r2,a2_r2,a3_r2,rt_a1_r2,rt_a2_r2,rt_a3_r2,a1_r3,a2_r3,a3_r3,rt_a1_r3,rt_a2_r3,rt_a3_r3,a1_r4,a2_r4,a3_r4,rt_a1_r4,rt_a2_r4,rt_a3_r4,a1_r5,a2_r5,a3_r5,rt_a1_r5,rt_a2_r5,rt_a3_r5,a1_r6,a2_r6,a3_r6,rt_a1_r6,rt_a2_r6,rt_a3_r6,a1_r7,a2_r7,a3_r7,rt_a1_r7,rt_a2_r7,rt_a3_r7,a1_r8,a2_r8,a3_r8,rt_a1_r8,rt_a2_r8,rt_a3_r8,a1_r9,a2_r9,a3_r9,rt_a1_r9,rt_a2_r9,rt_a3_r9,a1_r10,a2_r10,a3_r10,rt_a1_r10,rt_a2_r10,rt_a3_r10,a1_r11,a2_r11,a3_r11,rt_a1_r11,rt_a2_r11,rt_a3_r11,a1_r12,a2_r12,a3_r12,rt_a1_r12,rt_a2_r12,rt_a3_r12,a1_r13,a2_r13,a3_r13,rt_a1_r13,rt_a2_r13,rt_a3_r13,a1_r14,a2_r14,a3_r14,rt_a1_r14,rt_a2_r14,rt_a3_r14,a1_r15,a2_r15,a3_r15,rt_a1_r15,rt_a2_r15,rt_a3_r15,a1_r16,a2_r16,a3_r16,rt_a1_r16,rt_a2_r16,rt_a3_r16,a1_r17,a2_r17,a3_r17,rt_a1_r17,rt_a2_r17,rt_a3_r17,a1_r18,a2_r18,a3_r18,rt_a1_r18,rt_a2_r18,rt_a3_r18,a1_r19,a2_r19,a3_r19,rt_a1_r19,rt_a2_r19,rt_a3_r19,a1_r20,a2_r20,a3_r20,rt_a1_r20,rt_a2_r20,rt_a3_r20,a1_r21,a2_r21,a3_r21,rt_a1_r21,rt_a2_r21,rt_a3_r21,a1_r22,a2_r22,a3_r22,rt_a1_r22,rt_a2_r22,rt_a3_r22,a1_r23,a2_r23,a3_r23,rt_a1_r23,rt_a2_r23,rt_a3_r23,a1_r24,a2_r24,a3_r24,rt_a1_r24,rt_a2_r24,rt_a3_r24
48,0,2,2,2,0,0,0,3152,1914,1080,0,0,0,4147,1163,1238,0,0,0,3583,1121,1488,0,0,0,2680,1926,1927,0,0,0,3179,1297,1446,0,0,0,4140,1468,1441,0,0,0,3185,1294,1178,0,0,0,3693,1116,1398,0,0,0,3399,1100,1422,0,0,0,3308,1383,1529,0,0,0,2787,1207,1339,0,0,0,2993,2302,1292,0,0,0,3164,1669,1321,0,0,0,3766,1110,1419,0,0,0,2118,1838,1412,0,0,0,3185,2232,1212,0,0,0,4025,1583,1268,0,0,0,4242,1566,4303,0,0,0,6060,2254,5280,0,0,0,3023,1948,1228,0,0,0,3041,1237,2620,0,0,0,3110,1323,1653,0,0,0,2619,1268,1660,0,0,0,2607,1129,3035
49,0,3,1,2,0,0,0,1942,941,2739,0,0,0,954,963,2888,0,0,0,1749,1161,2229,5,0,4,5018,1395,4968,5,6,5,1316,5434,2432,0,8,6,1208,1182,2746,0,0,6,1257,575,2661,0,0,0,990,2271,1537,0,0,6,853,1100,3141,6,6,5,953,2213,3193,0,0,0,1021,1218,1876,0,0,0,923,1063,1869,6,0,0,4911,2554,1978,6,0,6,8641,1347,1809,6,7,6,1013,1319,3447,0,7,0,1258,1035,2000,0,0,6,905,853,6552,0,0,0,1366,954,1599,6,6,5,973,857,4034,0,7,0,2530,1225,2729,0,0,0,1051,881,2162,6,6,5,1008,849,1466,0,0,0,861,733,1227,0,0,6,4861,1195,2647
50,1,2,2,2,0,0,0,3229,3291,9666,0,0,0,3840,3493,6236,5,0,12,6075,1458,2513,5,0,0,1486,2854,3961,0,17,0,2170,6411,2987,0,0,0,5662,3395,1924,0,0,8,3040,2840,2260,0,0,0,1437,1510,5276,0,0,0,1869,3706,9042,8,0,15,3146,1574,5140,0,0,0,1024,11995,2591,11,0,0,7365,7633,2326,0,15,0,938,2574,2612,8,0,0,4660,4543,2697,0,0,9,5002,6790,2286,0,15,9,4963,8228,3141,0,0,0,9827,1431,1436,0,0,10,7932,4798,3360,10,0,10,7995,2238,7724,9,0,9,6175,6661,2866,0,16,9,2098,2997,1992,8,16,0,4644,4544,4790,0,0,0,981,3103,3028,0,0,0,4601,2449,3215
51,0,2,3,1,0,12,0,2705,2984,2351,0,0,0,1472,2906,1174,10,12,10,1401,4156,2682,0,0,10,1377,7325,3980,10,12,0,1004,1868,4747,10,10,10,1914,4700,6068,10,10,10,1109,2472,3525,10,10,10,949,2654,3011,10,0,0,884,2612,1130,0,0,0,908,4332,1315,10,12,10,981,6364,2341,10,11,10,887,3232,1787,10,10,10,1422,4380,2692,10,10,0,865,4102,886,0,10,0,1367,6948,1984,0,10,0,1526,4427,2741,1,10,0,1080,4232,1100,11,0,0,1113,1756,4050,10,0,10,1733,1840,1860,10,10,10,1461,3986,2105,10,10,10,1052,2991,2210,0,0,0,786,2201,1750,0,0,0,1226,1652,3423,10,10,0,1243,1717,2807
52,1,1,3,2,0,4,0,2859,4387,2790,0,3,0,2518,4709,2782,0,2,0,1972,5636,3877,0,0,0,3269,5896,5948,0,0,0,7523,2923,1856,2,0,20,6172,3650,3831,10,8,10,3101,6454,4979,12,0,10,2728,2798,4723,0,0,0,2515,4442,2518,0,0,0,3820,4959,4377,0,0,0,2389,4524,3691,10,9,0,4267,6490,7218,10,0,15,2823,3097,8407,10,10,0,2706,10685,1782,0,0,0,1976,2377,2724,0,0,12,1526,3829,6821,10,10,10,3625,5035,3621,10,0,0,3476,4971,5313,0,0,0,2129,3507,4636,0,9,15,2364,5391,7388,10,9,0,2179,7441,7212,0,0,0,2441,4601,4030,0,0,15,5127,2420,4574,10,0,10,4846,8424,6368
53,0,3,2,1,0,0,1,3212,3268,9414,0,11,3,2838,1795,11633,10,0,19,4045,3722,6899,0,10,0,2100,1264,5352,0,0,19,2305,752,12295,0,10,0,1744,6189,10473,0,10,20,1054,2462,9999,0,10,8,1853,4147,11311,0,10,20,890,1403,8055,10,0,1,2450,2727,8000,0,10,16,1958,2146,9309,10,0,18,3301,846,11595,0,10,11,3389,3332,9064,0,10,0,3506,2631,9473,0,10,0,1942,3177,9808,0,10,20,2455,1358,6568,15,0,19,4909,812,7788,0,0,2,3895,1068,5371,0,10,1,1159,2001,8358,10,10,16,2520,2154,8448,0,0,20,959,2511,7050,10,10,20,2758,1382,9276,0,10,9,5134,1361,6776,10,0,11,4039,10372,2747
54,0,1,2,1,0,0,0,1495,2429,1078,0,0,0,787,2399,2163,0,0,0,769,1761,935,5,0,4,849,1932,2867,5,0,0,1800,4828,1047,0,0,0,603,2097,835,0,0,0,811,3939,1085,5,10,5,638,1474,1148,0,0,0,839,1818,1604,0,0,0,969,1911,2337,0,0,0,593,2833,1865,5,6,5,1683,2189,1266,0,0,0,655,2545,1540,0,0,0,1308,4159,2275,0,0,0,727,2171,1218,6,6,6,874,4780,2085,0,0,0,783,2241,2669,0,0,0,686,1775,1139,0,0,0,827,1575,3286,7,7,5,741,1095,4541,0,0,0,795,5999,2604,0,0,0,1591,2259,4018,0,0,0,1983,2108,2003,8,10,5,3466,4267,1366
55,0,1,2,1,0,0,0,2859,1016,1475,0,0,0,854,1880,1807,0,0,0,1629,2797,2266,0,0,0,695,1903,1879,0,0,0,720,2044,1695,0,0,0,589,3103,1986,0,0,0,6142,1908,2057,0,0,0,4493,3024,2015,0,0,0,4576,2941,1743,0,0,0,3837,2776,2398,10,0,0,1308,2050,3087,0,0,0,5560,2190,9250,11,0,0,2938,3112,4601,0,0,8,1815,2994,7759,0,0,0,1648,2724,1926,11,0,0,1509,2011,2511,0,0,0,1637,2016,2546,0,0,0,2046,2036,2774,0,0,0,8314,1909,3118,0,0,0,689,2801,3216,11,0,10,1445,2139,2865,0,0,0,1941,1658,2426,0,2,0,9055,7003,1579,0,0,10,8688,2210,6186
56,1,3,2,1,14,14,3,3365,6776,12846,20,14,0,4990,1761,2290,0,14,13,3542,2663,8743,20,14,0,1703,1573,6266,20,14,12,1100,951,1681,20,0,0,1671,911,817,0,0,0,3038,916,3379,0,0,0,5481,1148,1620,0,0,0,5776,896,951,0,0,12,3830,833,8177,0,0,0,1416,809,1344,0,0,0,1887,870,795,0,0,0,4862,893,6179,0,0,0,2260,987,4295,0,20,0,5433,1470,3992,0,14,10,2609,1068,10063,14,0,0,1320,987,739,0,0,0,1970,967,3712,0,0,0,1585,724,1866,0,14,12,12131,1258,4544,14,0,0,5964,1259,658,0,0,0,1389,1906,654,0,0,0,2508,900,2960,0,0,13,9326,883,5763
57,1,2,3,1,0,0,0,615,4599,1613,0,0,0,1239,2638,1762,0,0,0,640,2195,1584,0,0,0,646,2268,1420,0,0,0,506,2245,1909,0,0,0,633,2243,1800,0,0,0,704,5063,1835,0,0,0,737,2061,1842,0,0,0,614,2167,1816,0,0,0,683,2042,1735,0,0,0,660,2002,1786,0,0,0,815,2292,1987,0,0,0,593,1992,1835,0,0,0,1379,2717,2105,0,0,0,718,2295,2084,0,0,0,626,2501,1909,0,0,0,651,2021,1882,0,0,0,679,2364,2117,0,0,0,746,2236,1825,0,0,0,685,2190,1944,0,0,0,763,2162,2145,0,0,0,701,2116,2566,0,0,0,647,2522,2294,0,0,0,716,2362,2012
58,0,2,1,1,0,5,4,1879,8745,3957,15,6,8,3429,4519,1470,0,3,10,1579,1561,2943,15,10,6,1768,5412,979,0,15,9,1573,4962,1874,14,9,2,5389,7458,2380,0,7,10,1437,4700,2676,14,14,8,2335,3678,2227,0,5,12,1750,3331,2546,14,15,0,1735,2368,3196,0,1,4,1407,2452,1594,13,17,3,3361,3871,1745,0,5,8,1302,4556,1502,13,9,10,3650,2525,4309,0,9,15,2189,3430,2000,13,14,5,2670,4588,4719,0,1,7,2118,4735,1576,13,5,0,2656,8077,1399,0,12,5,2286,3204,997,12,1,2,4207,1947,2767,0,3,4,2963,5037,1400,10,20,7,2805,3746,1016,0,1,6,1869,1957,962,10,15,2,2797,2488,1441
59,0,1,2,1,0,0,6,3332,1951,3214,0,0,0,1940,1773,1501,0,0,0,1714,1856,4729,0,0,0,1787,4237,4863,0,0,0,2150,2015,3114,0,0,0,2717,7316,1582,0,0,0,2344,1336,2743,0,0,8,2063,7490,5965,0,0,0,2610,7242,2257,0,0,0,1012,10875,2848,0,9,0,2340,942,4485,0,0,0,2017,6929,7066,0,0,8,2889,8714,5240,0,0,0,7324,4097,4193,10,9,0,3183,4781,4103,0,0,9,2130,4219,1652,0,0,0,1576,2952,4120,15,12,9,2820,6023,3231,0,0,11,1666,4546,6176,0,0,0,1766,1381,2646,0,0,0,1804,5059,3984,11,9,9,8580,8847,8800,0,0,0,1497,3072,3591,0,0,0,2080,3326,4454
61,1,1,3,1,18,18,20,6475,3583,2105,0,0,0,1744,1671,1882,20,18,18,2138,1580,1845,18,18,18,2195,3324,1640,0,0,0,2326,1523,2121,18,18,18,2320,2196,1677,0,0,0,1572,1913,1353,18,19,18,2484,1592,1416,16,19,18,3082,3802,1581,0,0,0,2132,3001,1398,18,18,18,1728,1417,1419,0,19,0,1544,2308,1518,18,18,20,3386,2302,3821,19,18,19,2840,3079,1475,0,0,0,2219,1235,1788,19,18,19,1672,2917,1534,0,0,0,2638,2386,2145,19,18,19,2307,2522,1651,19,20,19,2462,2450,1433,0,0,0,1652,1372,1446,19,18,20,1801,2127,1615,0,20,0,1730,1889,1993,18,19,19,4062,3300,3048,19,20,19,2753,2547,3187
62,0,1,3,1,3,0,0,3280,999,1300,1,0,0,2091,3604,1513,0,0,1,647,1353,2383,8,8,8,841,1101,1054,0,0,0,728,940,8132,0,1,0,939,911,1820,0,0,0,667,1376,1418,0,0,0,676,1200,1614,0,0,0,581,1178,1656,0,0,0,696,990,1511,0,0,1,1379,1336,1279,9,10,10,705,2067,1256,1,0,0,651,1253,1182,0,1,0,590,2666,1316,0,0,1,616,932,1296,11,9,8,846,970,2265,1,0,0,589,2121,1553,0,1,0,672,2210,1480,0,0,0,656,1635,1650,0,0,0,780,1038,1529,1,0,1,766,1006,1681,9,11,10,737,1520,1305,1,0,0,1844,1933,1589,1,1,0,1984,2128,1630
63,1,3,2,1,10,10,10,3606,3177,3781,0,0,0,1802,1540,1719,0,0,0,2102,1154,1126,0,0,0,1414,755,1208,8,9,8,2879,967,1204,0,0,0,1420,853,1295,0,0,8,1151,769,1115,8,8,8,836,859,982,0,3,0,3106,12,2266,0,0,0,1856,1118,2224,0,0,0,2351,1360,918,0,0,0,2102,871,1421,0,0,0,2358,924,2417,0,0,0,1808,795,2399,0,0,0,1445,637,2183,8,0,9,2100,888,3626,9,0,0,3764,799,913,0,0,0,1142,1850,1195,8,8,9,3422,903,1020,0,0,9,3657,2184,1159,0,0,0,2166,794,1004,0,1,0,1606,1077,939,16,8,9,8476,1168,1018,0,0,0,1213,1083,2025
64,0,2,3,2,0,0,0,6175,2611,2310,0,0,0,1628,1876,2173,0,0,0,1931,2675,2531,0,9,5,1625,2881,1771,5,9,10,4261,1709,4749,0,0,11,1572,3402,1988,0,0,15,1864,2704,2907,10,10,10,3426,1935,2433,10,11,12,5906,2036,2109,0,0,0,1647,1418,2440,0,0,0,1643,1668,1368,10,7,0,4688,1984,2231,0,7,0,1722,3270,1571,0,0,15,1614,2560,4081,0,5,12,2010,1645,2825,0,0,15,1995,2157,2673,0,7,15,2014,2668,3180,12,3,10,2235,3594,1571,0,5,0,2274,5163,2185,0,0,15,1787,1631,2914,0,0,12,1648,1800,2656,0,0,0,2476,1861,1471,0,6,0,2031,1980,2347,0,0,0,1775,5439,3230
65,0,1,1,2,10,5,0,10587,9695,4480,10,10,10,2154,4740,2703,10,10,10,2144,4979,1914,10,10,10,4622,2327,2446,10,8,11,2953,6119,1634,10,0,0,2946,9534,1541,10,0,10,8331,2688,2622,10,11,10,4205,4242,1861,10,10,11,5531,1370,2103,10,0,0,2759,1209,2069,10,10,9,2635,1207,1517,10,10,10,2746,1405,4242,0,0,0,1445,1531,2564,10,10,8,2981,2620,2990,10,10,9,3393,3788,4719,0,0,0,2383,4190,2270,10,10,0,1886,3553,8105,0,11,11,8707,2424,2810,10,0,0,3743,1834,5766,10,10,9,4020,2482,4225,10,11,10,5175,6863,3719,0,0,11,2584,8585,1672,0,10,9,2499,6426,2115,10,0,0,7683,5200,2525
66,1,3,2,1,0,0,0,3502,841,3953,0,8,0,1760,2534,3348,5,4,12,998,4973,3684,0,0,0,1713,3619,2804,0,8,0,1741,920,3085,0,5,0,3342,4416,5851,5,0,0,4162,1204,7714,0,8,0,2077,8291,4804,0,0,0,2002,844,5419,0,0,15,1977,1657,11524,0,0,0,2524,4905,3456,7,0,15,1579,5072,3632,7,0,0,2096,2625,2854,0,8,15,2929,7419,3842,0,0,0,1981,3087,2470,0,8,0,3368,5574,3409,0,0,15,2011,2581,3348,7,4,0,1229,3333,2323,0,0,0,1504,2590,1775,0,6,0,1688,2922,2417,0,6,15,1828,7328,4807,0,0,0,1538,4869,2451,0,0,0,2221,6844,2734,8,0,15,864,5913,3945
67,1,2,3,1,10,10,15,5967,3829,1325,10,10,16,9432,4780,5104,10,10,17,3097,2577,4018,20,10,18,7036,1712,1815,20,12,19,4788,4741,2375,20,10,19,2901,1912,4679,0,15,19,2576,6197,5860,0,10,18,4458,2166,5211,0,10,18,12,5058,3385,20,10,18,1765,4849,4182,20,10,18,4901,1679,6334,0,12,20,2724,3360,3534,20,10,20,8371,7181,3836,10,10,18,6049,1510,6250,10,10,18,7891,6146,4656,20,10,18,3096,6140,8583,0,10,18,4216,8548,6059,0,10,18,4621,4744,10374,0,10,18,10704,1936,4359,20,0,18,4918,1335,10572,10,0,20,4514,2825,4841,10,10,20,7058,5251,2861,10,0,20,6633,8448,2457,10,10,18,6281,7045,5409
68,1,2,2,2,4,0,1,5737,2984,6208,0,2,0,1820,1565,1177,3,1,10,2019,2228,4381,5,14,9,4086,3117,8293,10,6,10,3527,2304,9875,4,8,0,2730,3058,1062,2,2,4,2270,2043,12,8,14,10,3096,1898,1103,4,2,10,2755,3531,2673,0,1,0,2408,3096,986,0,0,0,3517,2386,3147,0,13,8,3474,2590,4267,7,10,0,4332,1915,1151,3,0,0,1074,1476,2641,0,0,0,2339,1179,1246,0,15,10,2316,2068,4397,14,0,0,3975,2768,2464,0,0,0,1728,2553,1233,9,0,0,5188,1688,5737,12,14,12,3269,2112,2570,3,0,0,2689,2312,1362,0,0,0,1633,3680,1409,10,0,0,3294,2156,4342,7,14,10,4965,3003,3065
69,0,1,2,1,0,0,0,5259,2360,2913,0,0,0,2278,1731,2807,0,0,0,4904,1334,8053,0,0,0,1103,1068,2664,0,0,0,1165,1081,11924,0,0,0,1078,999,4073,0,0,0,2474,947,2360,0,0,0,1415,856,3021,0,0,0,855,858,3223,0,0,0,4490,1335,1813,0,0,0,1467,1143,3614,0,0,0,1128,1410,1599,0,0,0,6322,1606,1438,11,12,12,2777,2751,1754,0,0,11,2956,1065,3531,0,0,0,1360,1013,1248,0,0,0,841,1105,2375,0,0,0,1560,1520,3184,0,0,0,2285,1405,6975,0,0,0,2580,941,2527,0,0,0,2203,895,1266,0,0,0,4852,992,4399,0,0,0,3398,1164,3033,0,0,0,3476,974,2556
70,0,1,3,2,0,0,0,2405,2863,887,0,0,0,1919,1254,977,0,6,0,1639,2326,901,8,8,7,2067,4999,3002,10,0,0,2822,1099,871,0,0,0,1937,1280,1103,0,0,0,2025,1524,1121,8,8,8,2281,1931,1377,10,10,10,3930,4535,2432,10,0,0,2092,1158,889,0,0,0,1686,1296,1018,0,0,0,2508,1197,931,0,8,0,2620,1368,1623,0,0,0,2201,1159,1119,0,0,0,2227,1394,1063,0,0,0,2446,1170,1077,0,0,0,2195,1431,1003,0,0,0,2511,1318,1132,0,0,0,1716,1381,1255,0,8,0,1898,5743,1601,0,0,0,1916,2169,927,0,0,0,2090,1622,3240,8,0,8,1904,2634,912,10,10,10,2576,2185,3420
76,0,1,3,1,0,0,0,1220,1389,2292,0,0,0,1124,1300,1281,8,9,8,919,1708,1559,20,0,0,3782,7084,2590,0,9,0,966,3968,1425,0,0,0,2044,1656,1948,9,0,9,2051,2286,1273,0,10,0,2883,3090,1420,0,0,0,4372,1178,2466,18,9,9,5274,1817,1837,0,9,0,7773,2591,1635,0,0,0,2310,1169,1959,9,0,8,3475,1698,2156,9,0,0,7348,1168,1410,0,0,8,1163,1083,2253,9,9,8,1965,2368,2455,0,0,0,2803,1225,1564,0,0,0,914,1390,1188,9,9,8,1701,1107,1543,0,9,8,3746,1372,1462,9,10,8,1283,1896,1515,0,0,0,6172,1344,1432,0,0,0,845,1485,2631,9,9,8,776,1444,3012
77,0,3,2,1,10,20,0,7263,7067,1885,20,20,0,4780,4385,1459,1,0,0,12901,5798,1512,0,0,0,1638,1987,2124,0,0,0,1579,1167,1220,0,0,0,933,2541,1811,0,0,0,1306,4591,2216,0,0,0,1217,3235,2238,0,0,0,731,12123,1680,0,0,0,948,1401,1392,0,13,15,800,5658,2341,15,20,0,1855,7952,1255,0,0,0,1277,2276,1949,15,0,16,3701,2841,5171,20,0,0,4590,2096,1463,0,16,0,892,2845,1270,15,0,0,3326,12875,1956,15,0,0,1442,3689,2462,0,18,0,609,6516,1763,0,17,0,1139,10691,2084,10,17,0,3364,4760,2636,15,17,14,3923,6331,3182,0,17,0,1428,3998,4749,0,17,0,1605,6856,1696
78,1,2,3,1,0,0,2,2987,4338,4230,0,0,0,3598,2026,1053,0,15,12,2246,2472,1605,14,0,12,3060,2172,2025,0,15,13,2671,5207,1997,18,0,0,5344,1999,1284,0,15,10,1956,6843,5076,0,18,12,3355,5034,1906,0,0,0,3272,1838,1002,10,0,12,1817,1999,1315,0,0,0,5793,4287,1322,0,0,10,5786,1721,1968,12,15,0,3055,3193,2516,0,0,8,2755,1847,886,12,15,0,8253,3865,975,0,18,10,2690,4815,2351,0,0,8,3542,2972,2997,13,0,10,2058,1290,1483,7,15,0,5058,4884,1453,0,0,10,3523,2706,1880,8,15,10,4520,3973,1769,0,0,12,3660,2052,2579,12,0,0,3706,2150,4202,0,0,8,2254,3925,1461
79,0,3,1,2,0,0,0,7223,7315,3586,2,0,0,8825,6269,2631,3,0,0,6545,3395,3528,0,0,0,2601,4256,4233,0,0,0,2809,3243,3220,0,0,5,635,5054,3508,6,0,0,8755,3260,2403,3,0,0,3211,3352,3040,3,0,0,2743,2898,2681,0,0,0,2723,3506,4467,0,0,0,2741,2581,2580,5,0,5,5145,2254,7419,3,0,0,4351,2278,2669,3,0,0,3925,4468,2656,2,0,0,2324,2082,2962,0,0,0,2233,2319,3398,0,0,0,2772,4044,2773,0,0,0,4351,4318,3317,0,0,0,6218,2535,2666,0,0,0,4673,2639,3588,0,0,0,1920,2807,2639,0,0,5,9192,2636,3493,0,0,8,2747,2870,8311,0,0,0,2557,8747,3118
80,0,1,3,2,5,10,10,4460,7837,4750,8,10,5,2677,3877,11763,6,0,10,2585,1471,3044,8,0,10,4016,998,11764,4,5,5,3816,7575,6939,5,8,15,4884,2764,10069,15,0,10,6008,3639,2580,6,5,20,3316,4023,2075,20,8,20,3685,5893,3671,6,0,15,3137,12056,9372,3,5,5,3678,1472,8909,6,0,15,3110,6814,8593,9,10,5,3690,1026,10812,10,10,20,3300,2775,5273,15,0,20,4098,6976,2786,20,10,0,4431,3341,2189,2,10,10,2779,2759,2263,4,10,15,3539,5288,3738,8,10,15,2945,10726,5689,4,0,10,3688,1090,9417,6,10,0,3413,4358,3668,4,10,15,3839,9091,11421,7,10,20,3058,8642,9819,20,0,3,4374,5033,4158
81,1,3,3,2,0,0,0,2761,3548,3182,0,0,0,1943,2268,2375,0,0,12,2281,3380,1811,0,8,0,2699,1596,1589,0,0,0,2921,3061,3096,0,0,0,2176,1995,2260,0,0,0,2920,3918,2196,0,10,0,2983,2342,5339,0,0,0,4330,3803,5750,0,2,0,2613,4969,5572,0,0,19,2345,2467,8783,0,20,0,2450,5698,1785,0,0,0,4228,5432,3249,0,0,0,3497,4160,4687,10,12,10,4658,6791,7950,0,0,9,3417,5273,7087,10,10,0,11306,12779,5011,0,0,0,5706,7550,8830,0,5,0,3671,7945,6702,10,10,15,8096,10712,12926,10,3,20,10781,12,9582,0,0,0,3705,2719,6518,0,0,0,4789,6260,9215,0,0,0,2221,3815,7029
82,1,2,3,2,0,0,0,3029,1517,2185,0,0,0,2147,2125,1879,0,0,0,5294,1482,2924,0,0,0,2174,1561,1735,0,0,0,3166,899,2470,0,4,5,4365,3346,1943,3,5,0,10638,5247,1772,0,0,0,2809,822,1918,0,0,0,2109,2258,2052,0,5,10,7111,2374,2627,0,0,0,2766,1989,1975,2,0,10,12,2452,3327,0,0,0,3348,2081,1756,4,5,0,2744,2158,3457,0,0,0,2623,1814,3530,0,0,0,2544,2014,2352,0,0,0,2232,3136,1769,0,0,0,2745,1981,2079,4,5,0,1624,4762,1057,0,0,0,2287,843,1183,0,0,0,2157,2131,1348,3,6,8,1386,890,1383,3,0,0,6409,5010,1720,0,0,0,1546,2013,1754
