num,type,d_le,a_le,gender,d1_r1,d2_r1,d3_r1,rt_d1_r1,rt_d2_r1,rt_d3_r1,d1_r2,d2_r2,d3_r2,rt_d1_r2,rt_d2_r2,rt_d3_r2,d1_r3,d2_r3,d3_r3,rt_d1_r3,rt_d2_r3,rt_d3_r3,d1_r4,d2_r4,d3_r4,rt_d1_r4,rt_d2_r4,rt_d3_r4,d1_r5,d2_r5,d3_r5,rt_d1_r5,rt_d2_r5,rt_d3_r5,d1_r6,d2_r6,d3_r6,rt_d1_r6,rt_d2_r6,rt_d3_r6,d1_r7,d2_r7,d3_r7,rt_d1_r7,rt_d2_r7,rt_d3_r7,d1_r8,d2_r8,d3_r8,rt_d1_r8,rt_d2_r8,rt_d3_r8,d1_r9,d2_r9,d3_r9,rt_d1_r9,rt_d2_r9,rt_d3_r9,d1_r10,d2_r10,d3_r10,rt_d1_r10,rt_d2_r10,rt_d3_r10,d1_r11,d2_r11,d3_r11,rt_d1_r11,rt_d2_r11,rt_d3_r11,d1_r12,d2_r12,d3_r12,rt_d1_r12,rt_d2_r12,rt_d3_r12,d1_r13,d2_r13,d3_r13,rt_d1_r13,rt_d2_r13,rt_d3_r13,d1_r14,d2_r14,d3_r14,rt_d1_r14,rt_d2_r14,rt_d3_r14,d1_r15,d2_r15,d3_r15,rt_d1_r15,rt_d2_r15,rt_d3_r15,d1_r16,d2_r16,d3_r16,rt_d1_r16,rt_d2_r16,rt_d3_r16,d1_r17,d2_r17,d3_r17,rt_d1_r17,rt_d2_r17,rt_d3_r17,d1_r18,d2_r18,d3_r18,rt_d1_r18,rt_d2_r18,rt_d3_r18,d1_r19,d2_r19,d3_r19,rt_d1_r19,rt_d2_r19,rt_d3_r19,d1_r20,d2_r20,d3_r20,rt_d1_r20,rt_d2_r20,rt_d3_r20,d1_r21,d2_r21,d3_r21,rt_d1_r21,rt_d2_r21,rt_d3_r21,d1_r22,d2_r22,d3_r22,rt_d1_r22,rt_d2_r22,rt_d3_r22,d1_r23,d2_r23,d3_r23,rt_d1_r23,rt_d2_r23,rt_d3_r23,d1_r24,d2_r24,d3_r24,rt_d1_r24,rt_d2_r24,rt_d3_r24
49,0,3,1,2,6,11,5,2164,8588,2720,5,4,10,2761,4606,1527,6,2,4,1568,2637,2339,3,7,3,1281,8574,3147,6,3,6,1560,3043,1567,6,5,6,1848,2726,2053,6,9,5,1735,2244,5161,6,4,7,2001,7403,1540,6,4,4,2723,1477,3039,6,8,3,5280,4181,1430,6,4,10,2992,3763,1874,6,5,5,3393,2096,1582,5,9,3,1923,2093,3683,5,4,7,1779,1705,1699,5,4,4,1671,3657,2245,7,5,5,1337,3740,2099,7,8,8,10612,2551,1245,7,5,2,2163,3854,1853,6,7,3,1821,8474,1779,6,5,9,1491,2987,1247,6,5,3,2519,2064,2010,6,9,3,1369,4511,1352,6,3,6,1461,3023,1681,6,5,8,1425,2317,3114
50,1,2,2,2,5,20,5,5250,2631,6984,0,0,10,8991,2219,9062,20,5,20,3441,2929,4249,0,20,1,2208,2583,1140,5,0,20,1734,1629,1752,20,1,0,2415,1849,1947,0,20,5,1758,4079,2563,5,0,20,2082,2054,1807,20,1,6,2419,922,1969,0,20,6,1557,1855,7474,8,0,20,2077,1678,7582,20,1,0,2665,1657,4073,0,20,7,1559,2121,1147,8,0,20,1647,1747,5231,20,1,0,2278,6200,1949,0,20,3,1859,1913,1764,5,0,20,1364,1789,1808,20,1,0,2535,2189,1639,0,20,10,1739,3929,1766,5,0,20,2410,2259,2108,20,1,10,2904,1324,3041,0,20,0,2193,2830,4789,5,0,20,3925,2429,1866,20,1,4,2355,1670,6795
51,0,2,3,1,10,11,10,3458,4339,2589,11,7,11,1738,2830,1706,7,5,7,1231,2231,1872,5,5,5,1855,1431,3435,5,7,5,2587,1500,1546,7,8,7,3715,2094,1466,8,9,8,2113,2801,1367,9,10,9,2227,1785,1256,10,10,10,2764,1863,3132,10,6,10,2311,1740,2957,6,8,6,1878,2136,2436,8,8,8,2145,2558,3034,8,10,8,2088,2871,3003,10,10,10,1814,3912,2974,10,10,10,2588,1818,3418,10,10,10,2513,3620,2866,10,10,10,2723,4087,4451,10,6,10,3758,1615,3183,6,6,6,1903,3009,1626,6,9,6,2163,1750,2569,9,13,9,1156,5671,3426,13,6,13,2748,1061,2864,6,6,6,1778,1401,2682,6,4,6,1464,2639,2629
52,1,1,3,2,11,10,10,3488,3345,6289,9,8,10,1902,2709,2054,8,7,8,7099,1843,1420,7,5,6,1548,1095,1830,6,4,5,1479,2036,1403,5,3,4,1649,1717,2652,10,7,8,3856,1311,4155,11,10,9,1550,4385,3178,10,8,9,3302,1377,2479,10,6,8,4682,1626,2434,10,5,6,4008,4473,3185,6,7,6,8022,2676,2041,10,8,8,1495,1562,2286,10,9,9,9811,1555,2011,9,7,6,8126,2392,2587,8,5,5,3023,1911,2329,10,6,8,1227,2200,2012,9,10,10,8994,1954,2283,10,7,5,1047,1485,2033,10,6,5,10137,1740,1987,10,9,8,6761,1308,1833,10,7,8,4108,960,1875,10,6,6,2003,1135,2565,10,7,8,2292,1101,3781
53,0,3,2,1,10,5,15,5143,6525,6987,3,10,10,1188,2937,2677,9,5,15,1400,3320,3424,13,5,20,2142,6836,2583,5,6,0,2758,2256,1879,5,5,10,1426,7495,2253,5,3,0,4930,5519,2381,5,6,0,5061,4663,1934,10,6,0,3301,5525,1182,11,5,10,4658,5142,1251,0,5,10,2630,4277,3015,10,5,10,4528,4831,2446,10,6,10,2459,2344,1454,5,4,10,1464,7349,1537,5,5,10,838,3644,1436,5,6,10,858,5631,2247,10,6,10,2147,4096,1540,10,10,10,6220,3050,1929,2,6,10,872,3567,1540,8,5,10,836,2102,2458,5,6,10,3965,2459,2047,10,6,10,1591,2801,1693,10,6,10,5428,3424,1753,10,3,15,1510,2660,2739
54,0,1,2,1,5,1,10,5130,1442,4431,2,0,3,2702,1338,2127,2,2,3,2870,2104,1170,2,0,10,5985,1140,3271,6,5,5,1936,2871,2290,3,0,5,3743,1512,1627,2,0,8,1804,2864,2351,4,0,5,9695,987,2529,8,10,9,2860,2851,8073,4,0,9,8767,1532,2869,2,0,15,3913,955,3537,5,0,5,4428,1226,2543,1,0,10,5554,1048,3625,6,0,10,1920,1692,2811,4,2,10,5806,851,2370,2,0,10,2655,2432,3057,0,0,10,2006,5839,2217,6,5,0,1645,3982,2873,5,0,10,2081,2340,4861,5,0,10,4716,2370,2411,0,0,10,2107,2431,2627,5,0,20,4401,2573,2769,5,5,20,5211,2076,3366,5,0,20,3626,1542,2374
55,0,1,2,1,1,9,9,3565,2268,2724,0,5,5,1436,2153,4505,11,7,8,4959,8493,4048,7,1,5,1896,1698,5980,0,0,1,3223,2621,6207,3,1,5,1503,3543,6422,11,0,0,10094,2078,3391,5,2,1,7110,3581,3400,0,0,1,1416,1749,4694,3,1,2,5326,3640,3396,7,1,1,4323,1330,2535,0,5,5,4751,2443,8172,0,0,2,7317,1847,3855,11,0,6,12384,1722,10382,9,10,4,6549,1881,6703,0,7,7,2003,1458,10933,3,0,10,8144,6817,2811,7,5,8,7344,6341,2479,11,0,5,5666,1698,7023,0,2,1,2862,9153,6256,0,2,7,10079,7915,10177,0,0,1,1391,1748,4601,0,7,5,7345,1592,7867,3,0,10,5787,12315,10015
56,1,3,2,1,10,5,7,2675,2381,1643,10,15,8,3364,2648,1762,10,16,10,1926,2135,2357,8,10,12,5089,2127,2001,10,15,14,1491,2264,2503,10,15,16,1605,2240,2007,10,15,14,2649,1396,2652,10,10,5,3598,1661,2003,10,13,10,2249,2472,4237,10,10,11,3708,2600,2561,10,10,12,1283,2428,2948,10,10,5,1714,1896,2220,10,10,1,3554,2474,4724,10,10,10,2570,1936,2557,10,5,9,4681,1066,2490,10,11,16,2926,2562,2413,10,11,14,2063,1585,2198,1,8,4,2389,1933,2202,10,5,5,2530,1210,1832,5,5,5,5281,3185,3450,1,13,9,1458,2958,2215,10,10,17,3391,1443,2160,1,5,5,3283,2343,2939,10,11,19,6216,2115,7302
57,1,2,3,1,15,15,10,2861,6226,8011,13,10,8,1281,2697,3588,7,10,8,962,3429,3138,6,10,8,1565,2315,2594,4,8,6,2278,2708,2956,1,8,4,850,3260,7934,1,8,8,1214,3779,2159,3,8,6,1682,2477,6528,5,8,8,1101,2873,3403,6,8,6,3425,2956,2492,5,8,6,960,3389,2541,0,8,6,6068,2415,7792,4,8,6,3040,2568,2666,2,8,6,3470,3166,2444,2,8,6,3301,2654,3394,4,8,6,4385,3194,4413,3,8,6,1931,3900,1917,2,8,6,2838,3166,4596,3,8,6,4133,3077,4762,3,8,6,3244,3048,3978,3,8,6,2680,3469,2416,7,8,6,2917,3782,3691,6,8,6,3650,4444,3235,6,8,6,3534,3457,3851
58,0,2,1,1,12,10,10,6613,2013,2571,10,8,8,2627,1350,4671,8,12,8,1858,1074,6024,10,10,10,3080,1965,6059,12,8,2,3344,4980,8247,10,8,4,9668,2232,1157,8,10,6,1231,1890,3590,10,8,12,4899,1189,7809,8,10,4,4370,1887,5348,12,8,12,4028,1599,3998,8,10,7,9401,1658,1358,12,8,12,9362,2759,7528,8,10,10,6330,2235,12163,8,9,12,5003,2250,5228,12,11,6,4039,1044,1272,10,12,12,11008,1714,2497,5,12,6,3515,2515,3167,10,10,6,4170,2040,2955,6,8,14,2152,1718,8131,10,10,12,3755,7210,2758,6,7,2,3099,789,2277,10,10,4,3781,5020,8235,8,9,6,1488,1577,1044,5,11,10,4133,2043,9538
59,0,1,2,1,8,10,9,3191,3302,2513,9,9,8,1242,2911,10087,8,9,9,1231,931,6456,9,9,7,1847,714,8132,8,9,8,1404,1177,2821,8,8,8,1099,2240,2407,8,8,7,1269,1712,1775,8,8,8,1162,952,4178,9,8,9,4419,1461,5149,8,8,7,1132,3114,6930,8,8,8,1065,2298,2191,9,8,8,3258,854,6627,8,8,6,1126,1420,2766,8,8,7,1205,1696,4974,8,8,8,1214,1630,2755,8,8,9,1147,3632,5330,8,8,7,1280,1385,6410,8,8,7,1086,11164,11485,9,14,12,1176,4400,6143,8,10,8,1252,3547,4255,8,8,8,2022,3617,4222,8,10,6,1230,6881,4325,10,15,10,3116,7578,4394,9,8,8,1124,3877,6086
61,1,1,3,1,20,15,15,2685,3427,1149,20,17,18,1196,3057,1633,1,0,16,4043,7903,6144,20,1,15,1141,3686,4836,20,15,15,1871,2363,3142,20,20,10,4221,1491,3278,1,0,15,4208,4338,1795,20,19,10,2108,1915,2978,20,0,16,1264,1263,3114,0,12,5,1745,3586,3641,20,18,15,1609,6300,3654,20,0,17,3866,1405,1584,20,19,10,2696,2106,2126,20,0,5,2643,1545,2246,20,19,15,2485,2540,2526,20,19,16,2384,2805,5117,20,0,10,2488,5429,3537,20,20,18,2122,5721,1769,20,0,17,4501,1927,1822,0,0,5,2997,6285,2300,20,20,18,1764,4299,2782,20,19,19,2294,4824,1834,15,0,10,5671,4827,2965,0,1,18,1434,3657,3133
62,0,1,3,1,20,1,0,2292,4079,8082,20,0,0,2585,1852,1340,20,0,0,2397,2056,1220,20,0,0,2572,1909,1346,20,1,5,4436,3521,1463,20,0,5,2489,1921,1575,20,0,0,2532,2246,3463,20,5,0,2209,1998,1733,20,5,1,2154,2285,1218,20,0,1,3615,2041,1611,20,0,1,2401,2033,1748,20,0,1,2047,2158,1856,20,0,1,2876,2100,1688,20,0,1,4264,2160,2635,20,0,1,4396,1926,1272,20,5,1,2361,6387,1847,20,0,1,2795,3048,2089,20,0,1,2159,1568,2027,20,8,1,2464,1660,1252,20,0,1,1816,2527,1292,20,0,1,3347,1905,1400,20,0,1,3094,1972,1191,20,0,5,1770,1646,1799,20,0,4,1764,2001,2625
63,1,3,2,1,11,5,15,5243,7673,1347,10,5,13,3536,9449,1905,12,5,11,2693,2019,1591,8,5,8,916,2102,1284,9,5,5,1032,2399,1184,12,5,9,5643,4283,2482,8,5,9,6451,5316,2959,11,11,1,1971,2017,1273,15,5,16,3798,2436,1320,12,5,11,2273,6618,3325,14,15,8,3985,3891,1215,16,15,11,3124,2717,1271,12,15,11,2138,2194,2900,15,5,12,12,3195,1659,12,5,8,3716,3345,2228,15,5,6,4725,4646,2790,15,5,8,4291,3732,1336,6,5,6,3967,6571,979,12,15,6,4441,1880,1654,12,15,9,5119,4054,1256,14,5,11,8343,935,1457,11,5,6,3050,2631,3059,12,5,6,3289,2504,1497,18,5,11,6780,2144,2162
64,0,2,3,2,10,10,10,5990,3741,7153,10,10,5,3256,4609,1466,10,8,6,4822,3250,2477,10,9,6,5343,1420,1006,10,8,10,6493,3063,3704,10,10,10,2541,2013,1768,10,8,5,3229,3049,1981,8,8,8,1724,1525,2873,12,15,15,3809,1707,2608,10,10,13,2475,1689,5806,5,8,3,2607,905,2841,10,10,3,6643,1593,1813,10,8,10,3149,1584,1758,5,8,3,4846,1571,1448,10,8,12,2721,1310,2226,10,8,8,2627,1334,1912,8,10,6,2893,1874,2539,10,10,5,3871,1559,2400,10,10,10,4870,1473,1512,10,10,5,4845,1508,3554,9,15,5,2703,2050,2997,5,10,1,1968,1581,3283,10,8,15,8486,1200,7085,8,10,5,4073,4103,2147
65,0,1,1,2,9,9,9,1544,4030,4296,8,8,8,5012,2034,4609,9,8,9,925,1764,5503,10,9,8,1584,1839,1069,11,11,8,1289,1106,2147,11,10,10,1764,2262,3105,9,8,9,1393,2261,5167,10,9,10,3015,1523,2822,11,11,10,1561,1708,2720,11,9,10,1506,879,3511,10,6,9,2531,2123,5563,10,10,10,6028,1638,8820,11,10,10,1507,2298,2527,10,5,8,2375,2615,4025,10,11,9,3444,796,4113,11,9,10,6230,1817,3241,10,9,9,1681,1409,1525,10,9,10,2629,3268,3459,10,8,10,3466,4555,6187,10,8,10,3386,2329,4445,10,10,8,3153,2268,5582,11,8,9,983,2514,2176,10,11,9,1519,2953,4106,10,10,9,2198,2419,3857
66,1,3,2,1,8,10,7,3549,2329,2683,5,7,7,3023,5445,3755,7,7,7,2476,1766,1320,9,10,10,1728,1913,2000,5,5,7,4586,1684,1194,9,8,7,3044,2299,2189,5,7,7,2069,3131,2509,5,6,7,2917,7579,2347,7,6,7,2310,5777,2706,5,4,6,2770,4454,3235,5,7,9,5360,2444,3918,7,4,8,2026,2284,2221,6,7,10,10208,4366,3220,5,6,7,2940,6212,2290,7,8,11,3230,4920,1255,9,6,7,2840,2227,2439,7,8,7,1916,6453,2059,8,8,7,1931,1454,1873,5,6,8,2400,4271,2110,6,7,7,2868,2500,1942,5,8,6,2042,9202,2371,7,5,8,2649,3224,1824,5,6,8,2090,4664,3505,7,6,7,2529,4743,2926
67,1,2,3,1,12,11,10,2882,786,6988,9,13,12,5294,2402,11413,12,15,15,2957,891,2360,12,14,15,7730,1700,5246,16,17,17,7302,1420,6680,17,19,18,7403,2535,10832,17,19,12,4652,2880,10382,17,15,19,2669,2087,3553,12,16,12,8677,2025,3484,12,13,10,2389,1165,6544,17,15,16,5535,1239,7055,18,16,12,5167,2869,12655,15,14,10,3391,1165,2833,17,19,19,3700,3423,3860,15,15,19,5091,1317,4856,16,18,18,3470,1117,2947,17,19,20,3050,1300,3956,16,15,19,8496,897,2576,15,15,16,4699,981,1220,11,15,11,4341,789,2442,15,16,17,2473,1561,2570,15,15,12,5018,802,3522,15,18,18,3004,983,1482,15,15,12,4016,756,3868
68,1,2,2,2,10,18,13,3181,6486,4770,8,12,9,2566,1900,4648,0,8,7,823,3555,3209,7,10,10,2717,2431,1701,9,12,11,8303,4166,3587,8,15,11,1225,1662,3508,5,10,7,3346,1910,1844,3,14,7,1504,1463,1319,10,16,12,3130,3915,5053,6,10,10,943,1782,3337,4,10,7,1692,5021,1126,6,12,10,9212,3351,2602,10,13,10,2046,3952,10380,6,16,9,3013,2821,5544,5,15,7,1456,3712,2372,5,11,14,1551,1838,2517,8,10,14,1402,1995,4295,5,13,6,1260,1801,2822,2,9,5,927,1388,2648,6,14,14,5772,4762,5107,8,16,10,1113,1590,5611,2,7,3,951,1342,1288,0,8,10,880,2975,5300,5,13,18,1878,4896,2762
69,0,1,2,1,15,15,20,3300,4761,3911,15,15,14,1708,3514,1695,16,10,15,5549,3514,2749,15,10,12,2388,3336,2010,15,10,13,4244,2798,2389,15,10,14,2470,2380,2419,15,10,13,1934,2271,4801,15,10,12,2530,2068,2969,15,10,15,1711,2525,3422,15,10,19,3110,2226,2284,15,10,15,2077,2395,3923,15,10,16,2403,2163,2442,15,10,0,3140,2632,6251,15,0,5,2385,5799,5929,20,10,15,2791,2245,1565,15,10,16,1977,2273,1283,15,10,14,2986,2421,5527,15,10,16,2720,2310,1828,15,10,14,3714,2229,3890,15,10,15,2675,2152,3109,15,10,13,2759,1935,2760,15,10,14,2902,2886,3090,15,10,16,1910,1966,3399,15,10,14,3301,2010,5971
70,0,1,3,2,12,7,8,3093,1721,4233,8,3,0,3115,1010,12773,5,2,0,1191,1116,3813,10,7,10,1987,2430,1787,10,10,12,1538,1684,2162,8,7,0,5152,1693,1699,3,5,0,12030,841,5343,8,4,0,1470,1352,6904,5,10,12,853,2221,2501,18,11,12,1784,2570,2175,6,6,5,765,1078,7605,11,3,0,6853,1268,1918,11,2,8,2589,1717,2014,6,4,12,4195,2836,7815,11,3,0,12,3834,2229,11,1,5,1439,1468,1761,8,1,5,1112,862,3180,11,1,5,1226,2024,3888,11,1,0,1184,1405,1532,11,1,0,7708,1618,1873,15,1,8,1086,2253,1546,6,0,0,1373,2831,1581,15,1,0,1218,3922,2950,18,6,0,3458,1861,5365
76,0,1,3,1,20,5,20,1785,1540,3492,5,5,5,768,3472,1840,20,20,5,2677,7775,5697,20,5,20,2105,1492,2863,10,10,5,3745,3096,1859,10,5,5,2487,1947,1561,0,6,10,3064,1455,2038,5,10,10,842,2352,10129,0,8,5,2708,1910,3476,0,7,5,2024,4596,8730,10,8,10,3896,6503,10191,0,0,8,2306,1549,10437,10,8,5,2823,2755,12169,0,5,2,1637,2439,10730,0,5,7,2817,3821,7711,10,8,6,2483,4069,7488,10,10,9,11090,3966,8498,0,0,1,1781,2344,7611,0,9,8,3339,6435,7027,0,8,0,1512,5085,3928,10,8,5,1688,4035,11651,20,8,8,3326,4924,2946,0,5,5,1439,2157,9085,0,5,3,1911,6018,7613
77,0,3,2,1,7,4,10,1161,2752,2646,10,11,5,2580,5403,5364,14,11,20,2576,3979,2070,5,10,20,2672,4178,1539,13,11,10,1905,5844,4099,10,11,10,8373,4884,1369,0,11,20,2105,4967,1517,0,11,10,2047,6501,5310,7,5,20,654,3925,3516,0,9,0,1370,9083,1122,9,10,20,1179,12315,2909,5,9,20,1411,4370,1459,7,5,20,3633,4206,5227,0,5,0,1084,2078,1016,7,5,0,2247,4236,1170,7,5,10,1633,5081,1752,10,7,10,3474,4843,4660,7,14,10,2828,5866,1557,5,4,10,2238,2278,1635,7,10,10,2222,2206,2648,3,9,15,1304,5015,1339,9,5,20,1894,3682,1967,12,9,15,7464,6268,8012,4,11,10,3797,3609,1419
78,1,2,3,1,10,10,15,8745,2227,3824,8,8,5,3990,2027,995,7,8,0,4913,9235,2738,7,5,9,11472,3551,2725,9,15,9,3411,6098,1266,9,15,10,5616,10966,1359,9,10,0,6476,1532,1637,10,10,10,6127,1442,1572,9,15,13,5915,1222,5403,7,10,5,6530,3647,4907,9,13,10,5321,1968,1387,7,10,5,8266,2383,2767,7,10,8,4140,1569,1558,7,12,8,7496,1331,1087,5,10,10,3776,1351,5884,8,10,8,3667,1360,1729,9,10,11,2085,1210,1555,8,10,10,2961,1979,1662,9,12,12,3674,905,2032,9,15,10,3256,1341,4449,9,12,12,6864,1434,1929,10,12,13,5507,2809,1184,9,10,10,9154,4108,1501,9,10,10,2631,3735,1895
79,0,3,1,2,2,2,4,1826,5298,4846,2,2,3,980,2608,2442,2,2,6,652,3061,2554,3,2,6,736,3691,4116,2,2,4,1115,3132,1824,2,2,3,1256,2277,2101,4,3,7,1356,2021,1890,2,2,7,1926,3733,1698,2,2,5,1664,4521,2269,2,2,10,1536,2753,4391,2,2,5,1782,2848,2124,2,2,7,1824,2734,2396,3,4,11,1012,6592,4751,3,3,6,1268,2585,4112,2,2,8,1783,1819,6049,2,2,6,2610,2310,6429,2,2,9,1838,2976,1879,2,2,7,1517,3511,6616,2,2,7,1308,2414,5399,2,2,6,1503,3034,7075,2,2,5,1520,3083,6976,2,2,7,1224,2592,6115,2,2,9,1452,2513,5900,3,2,12,1419,5331,4785
80,0,1,3,2,11,17,10,4672,2734,5288,11,13,10,2305,1682,2988,11,11,10,1226,1246,2295,11,9,10,2264,3425,4205,8,7,9,1475,2053,1459,8,6,7,5442,3066,2287,11,12,8,1915,1635,6648,10,9,8,3264,1203,2540,12,12,9,2727,1589,1828,15,17,13,1607,5036,2041,10,8,11,1470,1473,2072,10,9,10,4732,1824,2280,11,12,10,1744,1454,2287,11,10,10,4556,1837,4292,12,17,13,2256,2971,3521,15,12,10,1465,3070,4156,11,12,10,1967,4216,2887,10,9,10,2518,5434,2824,12,13,10,1584,2230,2341,14,15,11,1361,1991,2101,11,10,9,1558,2779,1494,8,9,8,1439,4551,4608,8,15,8,2642,2515,1804,14,15,10,4742,2399,2117
81,1,3,3,2,5,2,6,3228,6377,4314,3,0,3,1583,6182,3256,1,0,18,1264,6403,5107,5,5,3,1462,10096,3335,5,13,5,2214,5448,4222,1,6,3,2479,6890,3371,5,1,3,3898,8940,3541,1,8,5,2008,9522,7732,4,8,3,1825,9563,6338,3,8,2,1134,5962,7148,2,0,18,1255,2045,5876,2,0,2,3438,4980,2133,5,10,5,2451,5820,4761,3,0,3,1291,1980,5734,2,10,19,2407,9935,6743,4,10,4,4686,4630,7986,2,0,3,1034,8500,5751,8,0,5,1862,7143,8633,0,3,3,1414,5276,7212,6,13,18,2118,6645,12390,5,10,19,3085,6505,9556,5,5,3,5572,6819,5274,0,3,3,2607,3322,7600,5,2,3,2741,6791,5497
82,1,2,3,2,3,10,6,7730,3877,1571,3,5,5,2037,1587,1046,7,4,4,3461,3318,985,1,7,6,1546,1134,1135,6,2,4,5383,1427,1018,1,5,4,3507,3558,1016,3,7,4,1429,3417,1026,4,10,4,3126,8435,979,1,5,3,1368,1734,2264,0,5,5,1331,1018,1119,5,10,4,5412,2514,959,5,7,3,1817,2028,964,1,8,4,3096,1721,900,3,7,4,1062,2866,1083,5,8,4,7198,3477,1476,5,8,4,2109,1415,954,5,7,6,1796,5467,1000,5,7,3,1835,2413,1011,5,7,6,5117,4859,964,8,6,3,2267,2597,982,1,2,5,4068,2891,910,5,8,4,990,2124,968,3,8,5,4264,4330,1371,2,7,4,2887,2017,979
